,IndicatorCode,Indicator,ValueType,RegionCode,Region,SpatialDimValueCode,Country,Year,IsLatestYear,Sex,Sex_Code,MortalityRate,MortalityRate-Low,MortalityRate-High,Value,Language,DateModified,CountryCode
132,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,WPR,Western Pacific,SLB,Solomon Islands,2021,True,Both sexes,BTSX,16.09,9.91,24.71,16.09 [9.91 – 24.71],EN,2023-02-16T00:00:00.000Z,SLB
133,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EMR,Eastern Mediterranean,EGY,Egypt,2021,True,Both sexes,BTSX,16.23,10.56,24.36,16.23 [10.56 – 24.36],EN,2023-02-16T00:00:00.000Z,EGY
135,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,WPR,Western Pacific,VNM,Viet Nam,2021,True,Both sexes,BTSX,16.43,14.55,18.66,16.43 [14.55 – 18.66],EN,2023-02-16T00:00:00.000Z,VNM
136,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,AZE,Azerbaijan,2021,True,Both sexes,BTSX,16.61,9.82,27.78,16.61 [9.82 – 27.78],EN,2023-02-16T00:00:00.000Z,AZE
151,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,WPR,Western Pacific,TUV,Tuvalu,2021,True,Both sexes,BTSX,18.13,10.26,30.5,18.13 [10.26 – 30.5],EN,2023-02-16T00:00:00.000Z,TUV
155,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EMR,Eastern Mediterranean,SYR,Syrian Arab Republic,2021,True,Both sexes,BTSX,18.44,9.59,25.07,18.44 [9.59 – 25.07],EN,2023-02-16T00:00:00.000Z,SYR
159,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,SEAR,South-East Asia,IDN,Indonesia,2021,True,Both sexes,BTSX,18.88,15.02,23.84,18.88 [15.02 – 23.84],EN,2023-02-16T00:00:00.000Z,IDN
161,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,DZA,Algeria,2021,True,Both sexes,BTSX,19.16,16.9,21.78,19.16 [16.9 – 21.78],EN,2023-02-16T00:00:00.000Z,DZA
162,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,GTM,Guatemala,2021,True,Both sexes,BTSX,19.56,14.18,26.31,19.56 [14.18 – 26.31],EN,2023-02-16T00:00:00.000Z,GTM
163,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,WPR,Western Pacific,VUT,Vanuatu,2021,True,Both sexes,BTSX,19.71,11.33,33.65,19.71 [11.33 – 33.65],EN,2023-02-16T00:00:00.000Z,VUT
164,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,SWE,Sweden,2021,True,Both sexes,BTSX,2.01,1.88,2.16,2.01 [1.88 – 2.16],EN,2023-02-16T00:00:00.000Z,SWE
167,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,BLR,Belarus,2021,True,Both sexes,BTSX,2.05,1.76,2.36,2.05 [1.76 – 2.36],EN,2023-02-16T00:00:00.000Z,BLR
170,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,ISL,Iceland,2021,True,Both sexes,BTSX,2.1,1.62,2.69,2.1 [1.62 – 2.69],EN,2023-02-16T00:00:00.000Z,ISL
172,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,CZE,Czechia,2021,True,Both sexes,BTSX,2.2,2.05,2.37,2.2 [2.05 – 2.37],EN,2023-02-16T00:00:00.000Z,CZE
173,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,ITA,Italy,2021,True,Both sexes,BTSX,2.23,2.09,2.37,2.23 [2.09 – 2.37],EN,2023-02-16T00:00:00.000Z,ITA
175,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,LUX,Luxembourg,2021,True,Both sexes,BTSX,2.24,1.71,2.93,2.24 [1.71 – 2.93],EN,2023-02-16T00:00:00.000Z,LUX
178,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,CYP,Cyprus,2021,True,Both sexes,BTSX,2.29,1.71,3.25,2.29 [1.71 – 3.25],EN,2023-02-16T00:00:00.000Z,CYP
186,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,WPR,Western Pacific,KOR,Republic of Korea,2021,True,Both sexes,BTSX,2.47,2.36,2.58,2.47 [2.36 – 2.58],EN,2023-02-16T00:00:00.000Z,
190,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,PRT,Portugal,2021,True,Both sexes,BTSX,2.54,2.35,2.75,2.54 [2.35 – 2.75],EN,2023-02-16T00:00:00.000Z,PRT
191,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,ESP,Spain,2021,True,Both sexes,BTSX,2.56,2.41,2.72,2.56 [2.41 – 2.72],EN,2023-02-16T00:00:00.000Z,ESP
192,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,AND,Andorra,2021,True,Both sexes,BTSX,2.64,0.7,9.97,2.64 [0.7 – 9.97],EN,2023-02-16T00:00:00.000Z,AND
193,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,ISR,Israel,2021,True,Both sexes,BTSX,2.69,2.56,2.83,2.69 [2.56 – 2.83],EN,2023-02-16T00:00:00.000Z,ISR
195,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,LTU,Lithuania,2021,True,Both sexes,BTSX,2.71,2.33,3.14,2.71 [2.33 – 3.14],EN,2023-02-16T00:00:00.000Z,LTU
197,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,IRL,Ireland,2021,True,Both sexes,BTSX,2.74,2.36,3.16,2.74 [2.36 – 3.16],EN,2023-02-16T00:00:00.000Z,IRL
210,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,AUT,Austria,2021,True,Both sexes,BTSX,2.99,2.69,3.33,2.99 [2.69 – 3.33],EN,2023-02-16T00:00:00.000Z,AUT
212,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,BOL,Bolivia (Plurinational State of),2021,True,Both sexes,BTSX,20.18,14.25,28.25,20.18 [14.25 – 28.25],EN,2023-02-16T00:00:00.000Z,
217,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,WPR,Western Pacific,NIU,Niue,2021,True,Both sexes,BTSX,20.44,8.87,44.56,20.44 [8.87 – 44.56],EN,2023-02-16T00:00:00.000Z,NIU
218,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,WPR,Western Pacific,PHL,Philippines,2021,True,Both sexes,BTSX,20.47,14.45,27.91,20.47 [14.45 – 27.91],EN,2023-02-16T00:00:00.000Z,PHL
222,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EMR,Eastern Mediterranean,IRQ,Iraq,2021,True,Both sexes,BTSX,20.75,15.37,27.23,20.75 [15.37 – 27.23],EN,2023-02-16T00:00:00.000Z,IRQ
224,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,WPR,Western Pacific,FSM,Micronesia (Federated States of),2021,True,Both sexes,BTSX,21.01,9.63,42.28,21.01 [9.63 – 42.28],EN,2023-02-16T00:00:00.000Z,
225,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,VEN,Venezuela (Bolivarian Republic of),2021,True,Both sexes,BTSX,21.06,15.56,28.25,21.06 [15.56 – 28.25],EN,2023-02-16T00:00:00.000Z,
227,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,WPR,Western Pacific,KHM,Cambodia,2021,True,Both sexes,BTSX,21.26,10.44,42.66,21.26 [10.44 – 42.66],EN,2023-02-16T00:00:00.000Z,KHM
233,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,LCA,Saint Lucia,2021,True,Both sexes,BTSX,22.44,19.17,26.22,22.44 [19.17 – 26.22],EN,2023-02-16T00:00:00.000Z,LCA
234,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,SEAR,South-East Asia,BTN,Bhutan,2021,True,Both sexes,BTSX,22.45,13.56,35.63,22.45 [13.56 – 35.63],EN,2023-02-16T00:00:00.000Z,BTN
239,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,SEAR,South-East Asia,NPL,Nepal,2021,True,Both sexes,BTSX,22.82,17.84,29.32,22.82 [17.84 – 29.32],EN,2023-02-16T00:00:00.000Z,NPL
240,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,SEAR,South-East Asia,BGD,Bangladesh,2021,True,Both sexes,BTSX,22.91,20.84,25.1,22.91 [20.84 – 25.1],EN,2023-02-16T00:00:00.000Z,BGD
241,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,WPR,Western Pacific,NRU,Nauru,2021,True,Both sexes,BTSX,23.15,12.08,41.66,23.15 [12.08 – 41.66],EN,2023-02-16T00:00:00.000Z,NRU
242,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,GUY,Guyana,2021,True,Both sexes,BTSX,23.22,13.79,38.14,23.22 [13.79 – 38.14],EN,2023-02-16T00:00:00.000Z,GUY
243,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,WPR,Western Pacific,FJI,Fiji,2021,True,Both sexes,BTSX,23.26,20.99,25.69,23.26 [20.99 – 25.69],EN,2023-02-16T00:00:00.000Z,FJI
252,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,WPR,Western Pacific,MHL,Marshall Islands,2021,True,Both sexes,BTSX,24.81,15.09,40.23,24.81 [15.09 – 40.23],EN,2023-02-16T00:00:00.000Z,MHL
260,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,SEAR,South-East Asia,IND,India,2021,True,Both sexes,BTSX,25.49,23.18,27.93,25.49 [23.18 – 27.93],EN,2023-02-16T00:00:00.000Z,IND
266,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,ZAF,South Africa,2021,True,Both sexes,BTSX,26.43,24.38,28.66,26.43 [24.38 – 28.66],EN,2023-02-16T00:00:00.000Z,ZAF
269,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,DOM,Dominican Republic,2021,True,Both sexes,BTSX,27.29,20.66,35.5,27.29 [20.66 – 35.5],EN,2023-02-16T00:00:00.000Z,DOM
270,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,TJK,Tajikistan,2021,True,Both sexes,BTSX,27.64,16.44,46.09,27.64 [16.44 – 46.09],EN,2023-02-16T00:00:00.000Z,TJK
273,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,KEN,Kenya,2021,True,Both sexes,BTSX,27.99,23.31,33.38,27.99 [23.31 – 33.38],EN,2023-02-16T00:00:00.000Z,KEN
274,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,BWA,Botswana,2021,True,Both sexes,BTSX,28.31,8.84,80.86,28.31 [8.84 – 80.86],EN,2023-02-16T00:00:00.000Z,BWA
279,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,ERI,Eritrea,2021,True,Both sexes,BTSX,28.95,16.77,47.18,28.95 [16.77 – 47.18],EN,2023-02-16T00:00:00.000Z,ERI
281,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,SEN,Senegal,2021,True,Both sexes,BTSX,29.14,23.56,35.57,29.14 [23.56 – 35.57],EN,2023-02-16T00:00:00.000Z,SEN
282,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,GAB,Gabon,2021,True,Both sexes,BTSX,29.36,18.32,45.04,29.36 [18.32 – 45.04],EN,2023-02-16T00:00:00.000Z,GAB
283,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,NAM,Namibia,2021,True,Both sexes,BTSX,29.38,16.42,50.45,29.38 [16.42 – 50.45],EN,2023-02-16T00:00:00.000Z,NAM
286,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,RWA,Rwanda,2021,True,Both sexes,BTSX,29.65,18.98,44.78,29.65 [18.98 – 44.78],EN,2023-02-16T00:00:00.000Z,RWA
289,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,DEU,Germany,2021,True,Both sexes,BTSX,3.03,2.94,3.12,3.03 [2.94 – 3.12],EN,2023-02-16T00:00:00.000Z,DEU
291,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,DNK,Denmark,2021,True,Both sexes,BTSX,3.11,2.87,3.36,3.11 [2.87 – 3.36],EN,2023-02-16T00:00:00.000Z,DNK
293,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,LVA,Latvia,2021,True,Both sexes,BTSX,3.16,2.73,3.69,3.16 [2.73 – 3.69],EN,2023-02-16T00:00:00.000Z,LVA
294,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,WPR,Western Pacific,AUS,Australia,2021,True,Both sexes,BTSX,3.16,2.98,3.35,3.16 [2.98 – 3.35],EN,2023-02-16T00:00:00.000Z,AUS
298,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,GRC,Greece,2021,True,Both sexes,BTSX,3.27,2.9,3.67,3.27 [2.9 – 3.67],EN,2023-02-16T00:00:00.000Z,GRC
300,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,HUN,Hungary,2021,True,Both sexes,BTSX,3.31,2.94,3.75,3.31 [2.94 – 3.75],EN,2023-02-16T00:00:00.000Z,HUN
302,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,BEL,Belgium,2021,True,Both sexes,BTSX,3.38,3.04,3.75,3.38 [3.04 – 3.75],EN,2023-02-16T00:00:00.000Z,BEL
303,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,CHE,Switzerland,2021,True,Both sexes,BTSX,3.38,3.17,3.59,3.38 [3.17 – 3.59],EN,2023-02-16T00:00:00.000Z,CHE
307,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,FRA,France,2021,True,Both sexes,BTSX,3.45,3.17,3.75,3.45 [3.17 – 3.75],EN,2023-02-16T00:00:00.000Z,FRA
308,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,NLD,Netherlands,2021,True,Both sexes,BTSX,3.5,3.36,3.66,3.5 [3.36 – 3.66],EN,2023-02-16T00:00:00.000Z,NLD
316,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2021,True,Both sexes,BTSX,3.65,3.47,3.84,3.65 [3.47 – 3.84],EN,2023-02-16T00:00:00.000Z,
318,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,POL,Poland,2021,True,Both sexes,BTSX,3.73,3.6,3.86,3.73 [3.6 – 3.86],EN,2023-02-16T00:00:00.000Z,POL
322,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,TCA,Turks and Caicos Islands,2021,True,Both sexes,BTSX,3.83,2.28,6.5,3.83 [2.28 – 6.5],EN,2023-02-16T00:00:00.000Z,TCA
324,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,AIA,Anguilla,2021,True,Both sexes,BTSX,3.91,1.85,8.24,3.91 [1.85 – 8.24],EN,2023-02-16T00:00:00.000Z,AIA
326,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,HRV,Croatia,2021,True,Both sexes,BTSX,3.92,3.6,4.29,3.92 [3.6 – 4.29],EN,2023-02-16T00:00:00.000Z,HRV
328,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,WPR,Western Pacific,NZL,New Zealand,2021,True,Both sexes,BTSX,3.94,3.58,4.34,3.94 [3.58 – 4.34],EN,2023-02-16T00:00:00.000Z,NZL
330,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,CUB,Cuba,2021,True,Both sexes,BTSX,3.99,3.25,5.04,3.99 [3.25 – 5.04],EN,2023-02-16T00:00:00.000Z,CUB
338,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,UGA,Uganda,2021,True,Both sexes,BTSX,31.17,22.83,41.4,31.17 [22.83 – 41.4],EN,2023-02-16T00:00:00.000Z,UGA
339,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,MWI,Malawi,2021,True,Both sexes,BTSX,31.24,20.79,45.13,31.24 [20.79 – 45.13],EN,2023-02-16T00:00:00.000Z,MWI
342,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,COG,Congo,2021,True,Both sexes,BTSX,31.98,19.35,51.77,31.98 [19.35 – 51.77],EN,2023-02-16T00:00:00.000Z,COG
343,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,DMA,Dominica,2021,True,Both sexes,BTSX,32.03,27.21,37.7,32.03 [27.21 – 37.7],EN,2023-02-16T00:00:00.000Z,DMA
344,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,MRT,Mauritania,2021,True,Both sexes,BTSX,32.21,26.08,39.54,32.21 [26.08 – 39.54],EN,2023-02-16T00:00:00.000Z,MRT
348,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,GHA,Ghana,2021,True,Both sexes,BTSX,32.58,25.79,41.04,32.58 [25.79 – 41.04],EN,2023-02-16T00:00:00.000Z,GHA
352,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,SEAR,South-East Asia,MMR,Myanmar,2021,True,Both sexes,BTSX,33.72,22.48,48.65,33.72 [22.48 – 48.65],EN,2023-02-16T00:00:00.000Z,MMR
353,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,GMB,Gambia,2021,True,Both sexes,BTSX,34.0,28.34,40.47,34 [28.34 – 40.47],EN,2023-02-16T00:00:00.000Z,GMB
354,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,TZA,United Republic of Tanzania,2021,True,Both sexes,BTSX,34.11,24.73,47.24,34.11 [24.73 – 47.24],EN,2023-02-16T00:00:00.000Z,
356,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,WPR,Western Pacific,LAO,Lao People's Democratic Republic,2021,True,Both sexes,BTSX,34.22,24.37,46.73,34.22 [24.37 – 46.73],EN,2023-02-16T00:00:00.000Z,LAO
358,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,ETH,Ethiopia,2021,True,Both sexes,BTSX,34.27,27.87,42.11,34.27 [27.87 – 42.11],EN,2023-02-16T00:00:00.000Z,ETH
361,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,WPR,Western Pacific,PNG,Papua New Guinea,2021,True,Both sexes,BTSX,34.44,24.12,48.28,34.44 [24.12 – 48.28],EN,2023-02-16T00:00:00.000Z,PNG
365,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,ZWE,Zimbabwe,2021,True,Both sexes,BTSX,35.71,26.17,48.28,35.71 [26.17 – 48.28],EN,2023-02-16T00:00:00.000Z,ZWE
366,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,TKM,Turkmenistan,2021,True,Both sexes,BTSX,35.84,23.96,52.4,35.84 [23.96 – 52.4],EN,2023-02-16T00:00:00.000Z,TKM
374,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,BDI,Burundi,2021,True,Both sexes,BTSX,37.63,25.16,56.19,37.63 [25.16 – 56.19],EN,2023-02-16T00:00:00.000Z,BDI
377,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,WPR,Western Pacific,KIR,Kiribati,2021,True,Both sexes,BTSX,38.26,21.55,65.44,38.26 [21.55 – 65.44],EN,2023-02-16T00:00:00.000Z,KIR
379,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EMR,Eastern Mediterranean,SDN,Sudan,2021,True,Both sexes,BTSX,38.95,28.36,53.49,38.95 [28.36 – 53.49],EN,2023-02-16T00:00:00.000Z,SDN
382,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,COM,Comoros,2021,True,Both sexes,BTSX,39.3,30.39,50.8,39.3 [30.39 – 50.8],EN,2023-02-16T00:00:00.000Z,COM
385,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,RUS,Russian Federation,2021,True,Both sexes,BTSX,4.07,3.86,4.28,4.07 [3.86 – 4.28],EN,2023-02-16T00:00:00.000Z,RUS
396,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,CAN,Canada,2021,True,Both sexes,BTSX,4.43,4.23,4.62,4.43 [4.23 – 4.62],EN,2023-02-16T00:00:00.000Z,CAN
399,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,MSR,Montserrat,2021,True,Both sexes,BTSX,4.51,1.67,12.31,4.51 [1.67 – 12.31],EN,2023-02-16T00:00:00.000Z,MSR
400,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EMR,Eastern Mediterranean,QAT,Qatar,2021,True,Both sexes,BTSX,4.54,4.04,5.1,4.54 [4.04 – 5.1],EN,2023-02-16T00:00:00.000Z,QAT
402,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,SVK,Slovakia,2021,True,Both sexes,BTSX,4.63,4.4,4.89,4.63 [4.4 – 4.89],EN,2023-02-16T00:00:00.000Z,SVK
403,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,MKD,The former Yugoslav Republic of Macedonia,2021,True,Both sexes,BTSX,4.65,3.75,5.89,4.65 [3.75 – 5.89],EN,2023-02-16T00:00:00.000Z,
407,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,SRB,Serbia,2021,True,Both sexes,BTSX,4.75,4.43,5.09,4.75 [4.43 – 5.09],EN,2023-02-16T00:00:00.000Z,SRB
412,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,BIH,Bosnia and Herzegovina,2021,True,Both sexes,BTSX,4.84,3.77,6.2,4.84 [3.77 – 6.2],EN,2023-02-16T00:00:00.000Z,BIH
417,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,URY,Uruguay,2021,True,Both sexes,BTSX,4.99,4.54,5.47,4.99 [4.54 – 5.47],EN,2023-02-16T00:00:00.000Z,URY
419,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,ZMB,Zambia,2021,True,Both sexes,BTSX,40.19,30.44,52.9,40.19 [30.44 – 52.9],EN,2023-02-16T00:00:00.000Z,ZMB
423,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,SWZ,Eswatini,2021,True,Both sexes,BTSX,41.49,26.57,63.39,41.49 [26.57 – 63.39],EN,2023-02-16T00:00:00.000Z,SWZ
431,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,SEAR,South-East Asia,TLS,Timor-Leste,2021,True,Both sexes,BTSX,43.08,29.09,62.06,43.08 [29.09 – 62.06],EN,2023-02-16T00:00:00.000Z,TLS
433,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,TGO,Togo,2021,True,Both sexes,BTSX,43.36,34.42,54.79,43.36 [34.42 – 54.79],EN,2023-02-16T00:00:00.000Z,TGO
434,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EMR,Eastern Mediterranean,AFG,Afghanistan,2021,True,Both sexes,BTSX,43.39,33.02,55.58,43.39 [33.02 – 55.58],EN,2023-02-16T00:00:00.000Z,AFG
437,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,MDG,Madagascar,2021,True,Both sexes,BTSX,45.26,39.42,53.09,45.26 [39.42 – 53.09],EN,2023-02-16T00:00:00.000Z,MDG
438,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,HTI,Haiti,2021,True,Both sexes,BTSX,45.41,33.27,62.32,45.41 [33.27 – 62.32],EN,2023-02-16T00:00:00.000Z,HTI
440,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EMR,Eastern Mediterranean,DJI,Djibouti,2021,True,Both sexes,BTSX,45.85,26.3,76.29,45.85 [26.3 – 76.29],EN,2023-02-16T00:00:00.000Z,DJI
442,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EMR,Eastern Mediterranean,YEM,Yemen,2021,True,Both sexes,BTSX,46.65,22.7,90.2,46.65 [22.7 – 90.2],EN,2023-02-16T00:00:00.000Z,YEM
