,IndicatorCode,Indicator,ValueType,RegionCode,Region,SpatialDimValueCode,Country,Year,IsLatestYear,Sex,Sex_Code,MortalityRate,MortalityRate-Low,MortalityRate-High,Value,Language,DateModified,CountryCode
513,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,NER,Niger,2021,True,Both sexes,BTSX,59.5,51.37,69.66,59.5 [51.37 – 69.66],EN,2023-02-16T00:00:00.000Z,NER
515,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,WPR,Western Pacific,COK,Cook Islands,2021,True,Both sexes,BTSX,6.13,3.36,11.5,6.13 [3.36 – 11.5],EN,2023-02-16T00:00:00.000Z,COK
516,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,ARG,Argentina,2021,True,Both sexes,BTSX,6.15,5.85,6.48,6.15 [5.85 – 6.48],EN,2023-02-16T00:00:00.000Z,ARG
518,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,CRI,Costa Rica,2021,True,Both sexes,BTSX,6.24,5.79,6.71,6.24 [5.79 – 6.71],EN,2023-02-16T00:00:00.000Z,CRI
522,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,WPR,Western Pacific,MYS,Malaysia,2021,True,Both sexes,BTSX,6.46,5.85,7.15,6.46 [5.85 – 7.15],EN,2023-02-16T00:00:00.000Z,MYS
529,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,MLI,Mali,2021,True,Both sexes,BTSX,61.63,52.35,72.75,61.63 [52.35 – 72.75],EN,2023-02-16T00:00:00.000Z,MLI
531,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,COD,Democratic Republic of the Congo,2021,True,Both sexes,BTSX,62.37,39.76,93.0,62.37 [39.76 – 93],EN,2023-02-16T00:00:00.000Z,
535,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,SSD,South Sudan,2021,True,Both sexes,BTSX,63.76,26.94,135.1,63.76 [26.94 – 135.1],EN,2023-02-16T00:00:00.000Z,SSD
536,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,GIN,Guinea,2021,True,Both sexes,BTSX,63.78,53.39,77.43,63.78 [53.39 – 77.43],EN,2023-02-16T00:00:00.000Z,GIN
540,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,TCD,Chad,2021,True,Both sexes,BTSX,66.05,50.88,85.68,66.05 [50.88 – 85.68],EN,2023-02-16T00:00:00.000Z,TCD
546,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,UKR,Ukraine,2021,True,Both sexes,BTSX,7.04,6.73,7.41,7.04 [6.73 – 7.41],EN,2023-02-16T00:00:00.000Z,UKR
547,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EMR,Eastern Mediterranean,LBN,Lebanon,2021,True,Both sexes,BTSX,7.05,5.73,8.69,7.05 [5.73 – 8.69],EN,2023-02-16T00:00:00.000Z,LBN
548,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,SEAR,South-East Asia,THA,Thailand,2021,True,Both sexes,BTSX,7.1,5.97,9.33,7.1 [5.97 – 9.33],EN,2023-02-16T00:00:00.000Z,THA
552,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EMR,Eastern Mediterranean,KWT,Kuwait,2021,True,Both sexes,BTSX,7.48,6.74,8.28,7.48 [6.74 – 8.28],EN,2023-02-16T00:00:00.000Z,KWT
554,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,TUR,Türkiye,2021,True,Both sexes,BTSX,7.69,6.6,9.13,7.69 [6.6 – 9.13],EN,2023-02-16T00:00:00.000Z,
559,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,NGA,Nigeria,2021,True,Both sexes,BTSX,70.59,54.13,93.57,70.59 [54.13 – 93.57],EN,2023-02-16T00:00:00.000Z,NGA
561,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EMR,Eastern Mediterranean,SOM,Somalia,2021,True,Both sexes,BTSX,71.13,36.57,146.4,71.13 [36.57 – 146.4],EN,2023-02-16T00:00:00.000Z,SOM
564,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,CAF,Central African Republic,2021,True,Both sexes,BTSX,75.42,62.08,90.31,75.42 [62.08 – 90.31],EN,2023-02-16T00:00:00.000Z,CAF
567,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,SLE,Sierra Leone,2021,True,Both sexes,BTSX,78.25,66.45,91.13,78.25 [66.45 – 91.13],EN,2023-02-16T00:00:00.000Z,SLE
572,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,ALB,Albania,2021,True,Both sexes,BTSX,8.41,7.76,9.12,8.41 [7.76 – 9.12],EN,2023-02-16T00:00:00.000Z,ALB
573,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,GEO,Georgia,2021,True,Both sexes,BTSX,8.43,7.56,9.43,8.43 [7.56 – 9.43],EN,2023-02-16T00:00:00.000Z,GEO
576,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EMR,Eastern Mediterranean,OMN,Oman,2021,True,Both sexes,BTSX,8.7,7.83,9.63,8.7 [7.83 – 9.63],EN,2023-02-16T00:00:00.000Z,OMN
582,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,KAZ,Kazakhstan,2021,True,Both sexes,BTSX,9.14,8.84,9.46,9.14 [8.84 – 9.46],EN,2023-02-16T00:00:00.000Z,KAZ
583,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EMR,Eastern Mediterranean,LBY,Libya,2021,True,Both sexes,BTSX,9.22,5.22,16.15,9.22 [5.22 – 16.15],EN,2023-02-16T00:00:00.000Z,LBY
589,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,ARM,Armenia,2021,True,Both sexes,BTSX,9.54,7.5,11.97,9.54 [7.5 – 11.97],EN,2023-02-16T00:00:00.000Z,ARM
590,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,WPR,Western Pacific,TON,Tonga,2021,True,Both sexes,BTSX,9.57,5.11,16.63,9.57 [5.11 – 16.63],EN,2023-02-16T00:00:00.000Z,TON
591,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,BLZ,Belize,2021,True,Both sexes,BTSX,9.61,7.74,11.83,9.61 [7.74 – 11.83],EN,2023-02-16T00:00:00.000Z,BLZ
593,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,WPR,Western Pacific,BRN,Brunei Darussalam,2021,True,Both sexes,BTSX,9.64,8.06,11.53,9.64 [8.06 – 11.53],EN,2023-02-16T00:00:00.000Z,BRN
596,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,VGB,British Virgin Islands,2021,True,Both sexes,BTSX,9.92,4.5,21.6,9.92 [4.5 – 21.6],EN,2023-02-16T00:00:00.000Z,
