,Region,Sex,Year,MortalityRate,MortalityRate_Total,MortalityRate_Percentage
0,Africa,Female,2000,72.6468085106383,3790.7312765957445,1.9163829787234044
1,Africa,Female,2001,70.16936170212766,3790.7312765957445,1.8478723404255317
2,Africa,Female,2002,67.67468085106383,3790.7312765957445,1.7791489361702129
3,Africa,Female,2003,65.22872340425532,3790.7312765957445,1.7146808510638298
4,Africa,Female,2004,62.839574468085104,3790.7312765957445,1.6527659574468088
5,Africa,Female,2005,60.50042553191489,3790.7312765957445,1.5902127659574468
6,Africa,Female,2006,58.238510638297875,3790.7312765957445,1.5329787234042553
7,Africa,Female,2007,56.32829787234042,3790.7312765957445,1.4851063829787234
8,Africa,Female,2008,54.567021276595746,3790.7312765957445,1.4389361702127659
9,Africa,Female,2009,52.7,3790.7312765957445,1.3906382978723404
10,Africa,Female,2010,50.905744680851065,3790.7312765957445,1.343191489361702
11,Africa,Female,2011,49.22234042553191,3790.7312765957445,1.2991489361702129
12,Africa,Female,2012,47.69042553191489,3790.7312765957445,1.258723404255319
13,Africa,Female,2013,46.287234042553195,3790.7312765957445,1.219787234042553
14,Africa,Female,2014,45.162127659574466,3790.7312765957445,1.1885106382978723
15,Africa,Female,2015,44.026170212765955,3790.7312765957445,1.156808510638298
16,Africa,Female,2016,42.72404255319149,3790.7312765957445,1.1238297872340426
17,Africa,Female,2017,41.671063829787236,3790.7312765957445,1.0955319148936171
18,Africa,Female,2018,40.59148936170212,3790.7312765957445,1.0668085106382978
19,Africa,Female,2019,39.62489361702128,3790.7312765957445,1.0429787234042553
20,Africa,Female,2020,38.65531914893617,3790.7312765957445,1.0182978723404255
21,Africa,Female,2021,37.68425531914894,3790.7312765957445,0.9927659574468084
22,Africa,Male,2000,85.82936170212766,3790.7312765957445,2.276595744680851
23,Africa,Male,2001,83.15021276595745,3790.7312765957445,2.2004255319148935
24,Africa,Male,2002,80.40893617021275,3790.7312765957445,2.1248936170212764
25,Africa,Male,2003,77.71723404255319,3790.7312765957445,2.052127659574468
26,Africa,Male,2004,75.1063829787234,3790.7312765957445,1.9829787234042553
27,Africa,Male,2005,72.52553191489362,3790.7312765957445,1.9138297872340426
28,Africa,Male,2006,69.99893617021276,3790.7312765957445,1.8482978723404255
29,Africa,Male,2007,67.84404255319149,3790.7312765957445,1.794255319148936
30,Africa,Male,2008,65.82659574468084,3790.7312765957445,1.7414893617021276
31,Africa,Male,2009,63.682978723404254,3790.7312765957445,1.684255319148936
32,Africa,Male,2010,61.6268085106383,3790.7312765957445,1.6302127659574468
33,Africa,Male,2011,59.67851063829787,3790.7312765957445,1.5787234042553193
34,Africa,Male,2012,57.910425531914896,3790.7312765957445,1.5319148936170213
35,Africa,Male,2013,56.26744680851064,3790.7312765957445,1.4859574468085106
36,Africa,Male,2014,54.91531914893617,3790.7312765957445,1.4474468085106382
37,Africa,Male,2015,53.564255319148934,3790.7312765957445,1.4106382978723404
38,Africa,Male,2016,52.04276595744681,3790.7312765957445,1.3714893617021275
39,Africa,Male,2017,50.780425531914894,3790.7312765957445,1.336595744680851
40,Africa,Male,2018,49.50234042553192,3790.7312765957445,1.3038297872340425
41,Africa,Male,2019,48.36765957446809,3790.7312765957445,1.2751063829787235
42,Africa,Male,2020,47.2368085106383,3790.7312765957445,1.245531914893617
43,Africa,Male,2021,46.089361702127654,3790.7312765957445,1.216595744680851
44,Americas,Female,2000,19.571025641025642,1111.436153846154,1.7628205128205128
45,Americas,Female,2001,18.963076923076922,1111.436153846154,1.7084615384615383
46,Americas,Female,2002,18.40692307692308,1111.436153846154,1.6615384615384614
47,Americas,Female,2003,17.89128205128205,1111.436153846154,1.6161538461538463
48,Americas,Female,2004,17.407179487179487,1111.436153846154,1.574102564102564
49,Americas,Female,2005,16.93974358974359,1111.436153846154,1.5338461538461539
50,Americas,Female,2006,16.507179487179485,1111.436153846154,1.495897435897436
51,Americas,Female,2007,16.09102564102564,1111.436153846154,1.4594871794871795
52,Americas,Female,2008,15.702564102564102,1111.436153846154,1.425897435897436
53,Americas,Female,2009,15.328461538461537,1111.436153846154,1.3917948717948718
54,Americas,Female,2010,15.42076923076923,1111.436153846154,1.3715384615384616
55,Americas,Female,2011,14.634102564102564,1111.436153846154,1.327948717948718
56,Americas,Female,2012,14.304871794871795,1111.436153846154,1.2982051282051283
57,Americas,Female,2013,13.990512820512821,1111.436153846154,1.2684615384615385
58,Americas,Female,2014,13.69,1111.436153846154,1.2412820512820513
59,Americas,Female,2015,13.42,1111.436153846154,1.2153846153846153
60,Americas,Female,2016,13.275897435897436,1111.436153846154,1.2025641025641025
61,Americas,Female,2017,12.956666666666667,1111.436153846154,1.172051282051282
62,Americas,Female,2018,12.66025641025641,1111.436153846154,1.1443589743589744
63,Americas,Female,2019,12.452307692307691,1111.436153846154,1.1271794871794871
64,Americas,Female,2020,12.053076923076922,1111.436153846154,1.0874358974358975
65,Americas,Female,2021,11.74025641025641,1111.436153846154,1.0574358974358975
66,Americas,Male,2000,24.005128205128205,1111.436153846154,2.162051282051282
67,Americas,Male,2001,23.255384615384617,1111.436153846154,2.0943589743589746
68,Americas,Male,2002,22.564871794871795,1111.436153846154,2.0330769230769232
69,Americas,Male,2003,21.926153846153845,1111.436153846154,1.976153846153846
70,Americas,Male,2004,21.323589743589743,1111.436153846154,1.9215384615384614
71,Americas,Male,2005,20.757179487179485,1111.436153846154,1.871025641025641
72,Americas,Male,2006,20.2125641025641,1111.436153846154,1.82
73,Americas,Male,2007,19.69076923076923,1111.436153846154,1.7723076923076924
